aircraft,type_of_traveller,seat_type,route,seat_comfort,staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,title,reviews,rating,date_dt
a320,solo leisure,business class,london to marrakech,3,5,5,,4,,3,yes,eventually make good on their promise,"booked a ba holiday to marrakech, after posting a negative review regarding my double tier points credit, i can now confirm that the points have been credited. it took a while but ba did eventually make good on their promise, thank you. based on things now being resolved i have travelled on ba since and i am booked to travel to south africa in first class on 2nd january, looking forward to the new ba concorde lounge. keep it up ba, loyalty is indeed a 2way street.",9,2022-06-01
a380,solo leisure,economy class,san francisco to london,2,1,2,2,3,1,2,no,extremely sub-par service,"extremely sub-par service. highlights: no online meal selection. staff pretty much dropped off whatever meal they had and were very rude if a passenger wanted it changed. last meal was delayed to the last 40 minutes of flight. plates were literally grabbed away. i had to hand over my unfinished plate that the staff again dropped on me. no apology. no offer of a napkin. i had to scrounge for a piece of paper to clean my jacket. none of the passengers were told to straighten up their seats before meal. because the seat before me was so tilted, i could barely keep the plate on the tray without things slipping off. staff walked down with some water and biscuits. this got exhausted just before she got to me. she just looked at me and walked away. nothing further was offered.",2,2022-11-01
a320,solo leisure,business class,london to lisbon,3,4,4,,3,,3,yes,the service was excellent,"i virtually gave up on british airways about three years ago, writing off my avios and opting for other airlines. but my return flights from heathrow to lisbon this week were very good. the aircraft were pretty much full, but the service was excellent and the food surprisingly good. a particular shout-out to a flight attendant called jo, but all the teams there and back were enthusiastic and attentive. i'm going to have to start spending those avios.",7,2022-11-01
boeing 787 / a320,solo leisure,economy class,montreal to edinburgh via london heathrow,4,4,4,4,4,,4,yes,i thoroughly enjoyed my flight,"i was pleasantly surprised that the airline could maintain a steady schedule with little delay considering the time of the year and the weather. the flight from montreal was my return flight to scotland, but i originally booked to fly to and from toronto, but the airline helped me cancel and i rebooked for a cheaper flight. the inflight service was pretty decent andthey do offer a blanket and pillow. as well they walk through the cabin offering drinks and handing out a small snack prior to the leading meal service. while the food was typical air plane food. i thoroughly enjoyed my flight and had no issues at all with my flights.",7,2022-01-01
,solo leisure,economy class,miami to budapest via london,2,3,3,4,1,,1,no,wouldn't let me check-in until 24 hours before,"british airways is late, their website is atrocious, and they wouldn't let me check-in until 24 hours before the flight. i have been trying for 6 hours to check in through their website, and/or find a real person to speak with. customer service had such a thick accent i didn't think they were speaking english.",1,2022-11-01
,solo leisure,premium economy,amman jordan to london uk (heathrow),3,2,1,,4,,2,no,will honestly never fly them again if i can help it,flew from amman to london on nov. 14 2022. not sure what type of aircraft it was. my ticket was economy plus. the flight is 5h35m. we received exactly 250ml of water and about 10 potato chips. the seats did not recline and there was no entertainment system. any other food or drink had to be purchased. so we couldn't even get a warm cup of coffee or teas. it is the third time i have flown with ba recently and was unhappy each time but did not write a review. will honestly never fly them again if i can help it.,4,2022-11-01
,solo leisure,economy class,dusseldorf to london via los angeles,1,1,1,1,1,1,1,no,very unprofessional for a renowned airline like ba,"this is the worst experience i have ever had with any airline. i flew with british airline on august 21st 2022. i had one checked bag that was lost at heathrow airport. i am aware that at that time there was a system error with the baggage belt and many travelers were affected. i filed a report for my missing bag on the same day i arrived at lax airport, and that was on august 21st. i waited patiently for three weeks (which is the time frame to either find the bag or be eligible for a compensation). when i did not receive any update on my lost bag, i filed a claim for compensation, and that was on september 11th. since then, i have been waiting for a response from the customer relation with no good signs of resolving the issue. i emailed them and tried to update the claim but still no response until today. i contacted the baggage team and they were not helpful and did not ease my prolonged waiting. the only way to contact customer relations is via the website and they're not even getting back to me. every time i talk to a customer service agent, they tell me to wait some more. i have been waiting for almost three months now and my issue is not resolved yet. this whole experience was a hassle. very unprofessional for a renowned airline like ba.",1,2022-08-01
boeing 777,solo leisure,business class,london to cape town,4,2,1,4,1,,1,no,lounge was overcrowded and worn out,"flying lhr t5 to cpt november 2022:  ba app and website not working properly - would not load my ticket. lhr t5 smooth and calm. checking process quick. - but boarding card would not scan at security, they gave me one for someone else to a different destination.  ran back to checkin to get correct one. bags also tagged incorrectly and had disappeared.  someone ran off to find my bags in the depths of t5 and retag them (amazingly they did show up in cape town).  told only main lounge was open not b and c pier lounges. turns out this was false information ... b pier lounge was open. but i was in main lounge which was overcrowded and worn out. -arrived late to the gate (train not working). there was a biz class lane (quick) but then a giant queue to get on the plane as they only had one airbridge, not two. seat comfy and cabin clean but the sinks were taped up as the waste was not working. i was offered hand sanitiser instead but this is disgusting (imagine going to the bathroom and not being able to wash your hands as there is no sink). unbelievable that ba dispatches planes in this condition. food average. wine served way too late (choice of wine with cold food, or eat food first and matching wines come a quarter of an hour later). overall experience 2/10. flew air france (fortalaza to cdg to lhr) two weeks earlier which was way better. how embarrassing for ba.",2,2022-11-01
,solo leisure,economy class,milan to dallas via london ,2,5,2,2,2,2,1,no,very uncomfortable trip,"worst experience ever. outbound flight was cancelled and i was not notified. i was rebooked on a very uncomfortable trip. inbound flight delayed 1 hour, also not notified. on top of it, they boarded my hand luggage, which was the only bag i had. extra wait in milan then. food is horrible.",1,2022-11-01
boeing 787-8,solo leisure,economy class,baltimore to london heathrow,1,3,3,1,2,,3,yes,rate this just as a mediocre journey,"check in was a shambles at bwi, just 3 counters open for a very full flight. the bag drop queue was even longer than the regular check-in queue! boarding was done by zones so that was carried out reasonably well. once on board, the fas were fine, not as engaging on my outbound flight to iad. the aircraft was cramped and the seats in economy were horrible. i was seated in an aisle seat (row f) where there is an entertainment box taking up a third of your legroom. overall, very cramped seat, poor legroom and awful ife screens. the meal was mediocre and there was no bar service before the meal this time. on lading, we were served a hot sandwich which had oozing cheese all over the wrapper so it was not pleasant to handle but tasted very good! the plane landed at a remote stand which meant that we had to be bussed to t5 and since it was raining, it was not a nice experience. overall, i rate this just as a mediocre journey.",5,2022-11-01
,couple leisure,business class,dubai to belfast via london,3,3,3,2,1,2,1,no,baggage yet to be delivered after 5 weeks,beyond disgusted with the fact that my baggage has yet to be delivered to me after 5 weeks of emails and calls to ba. two pieces reported 29th september. ba responses are generic non specific and all attempts to speak to a customer service worker are obstructed. all this from an airline touting its values and claiming yo be one of the best in the world. disgraceful does not fully describe their customer service.,1,2022-10-01
,couple leisure,economy class,dallas to bologna via london,5,5,,,1,,1,no,misplaced our luggage during our wedding trip,"on july 19th 2022 i had submitted a complaint form with regards to the fact that ba had misplaced our luggage during our wedding trip to italy and we've lost 2 days and incurred additional expenses in retrieving them, for which i had provided all copy of receipts for. i requested for my expenses to be reimbursed, they agreed, i sent all requested information and was told in 2 weeks i will be receiving it. it's 4 months later and british airways has not processed my reimbursements and stopped answering my follow-ups on the matter.",1,2022-07-01
,solo leisure,economy class,san francisco to london,,,,,1,,1,no,zero faith in british airways,"i booked the flight on oct 8, but have to cancel the flight on the same day after learning that i can't get my entry visa in time for the flight. and i did receive a confirmation email says my flight was canceled. but in the cancellation email, the booking reference number is a different one. so i requested cancellation, but ba canceled another person's flight and sent the confirmation to my email? i assumed that my flight was canceled, but after more than 3 weeks, i still have not received any refund, so i reached out, and it turned out my flight is still on?! and it is getting even more ridiculous when you try to reach out to ba. i tried multiple different ways, phone calls, and emails, but none was able to investigate what actually happened nor has the authority help cancel my flight without paying penalty. based on my experience, no ones reads your email carefully, no matter how much context you put in. given all i have experienced, i have zero faith in british airways.",1,2022-10-01
a320,solo leisure,economy class,london heathrow to gibraltar,2,1,1,,3,,3,no,under whelmed by the experience,london to gibraltar on 25th october 2022. i booked my flight several months ahead of travel and was rather disappointed by the experience.  ba attempt to nickle and dime the customers with outrageous seat selection prices. offering of a very small bottle of water and a nutribar as a breakfast and one gains the impression of where ba aim to be positioned at of late. the a320 has was no inflight entertainment or a route map. the staff disappeared for most of the flight. the flight was punctual but i felt cheated and under whelmed by the experience.,6,2022-10-01
boeing 777,solo leisure,business class,london heathrow to nairobi,3,1,1,2,1,1,1,no,about as abysmal as you can get,"i’ve generally been a loyal gold status flyer with ba if they fly the route i’m after but my recent flight to nairobi was about as abysmal as you can get. we should have departed at 10:20 but after continuous delays finally left 4.5 hours late, not ideal when you’ve then got an 8hr + flight. staff informed us virtually as we took off that the meal and drinks service would be started and completed asap as they needed to get rest because of hours we had been delayed. they couldn’t get it out and away quickly enough. that was then basically the last you saw of them until they came around an hour or so before landing. i sincerely hope they enjoyed their rest because when you pay full fare for business class service you actually expect a service. they were all extremely miserable and clearly didn’t want to be on board. we’re still waiting for you to pay our compensation that has been awarded to us by the official ombudsman in july for the cancellation of our flight to miami in march. this was cancelled at 3am for the 2:30 pm flight !",1,2022-10-01
a350-1000,solo leisure,business class,london to los angeles,5,4,5,5,3,5,5,yes,has returned to full service,"a great flight. the suites on this aircraft really provide maximum comfort. british has returned to full service so meals were coursed, menus and hot towels provided…etc food was quite good with choices provided for both meals. service was ok, i prefer to have the same person serving me rather than a hodge pudge but that’s my preference. entertainment was good as was connectivity. no real complaints except a minor one. the tray table seemed far from me while eating in its closest position. i actually felt like i was in a true business class, not by qatar’s standards, but that’s another story.",9,2022-10-01
a320,solo leisure,business class,copenhagen to heathrow,3,5,5,,4,5,5,yes,this flight was quite good,"i am happy to say that this flight was quite good. except for the second rate euro business seating, everything was very well done. a friendly, informative cabin crew served a good hot breakfast while being very communicative to folks nervous about heathrow transit. well done. unfortunately, a bus gate was used upon arrival.",9,2022-10-01
